database\10456.jpg,"[3.18309886e-01 2.71984379e-15 7.60468360e-01 5.55212058e-02
 1.18811519e-02 7.50535507e-03 7.83300862e-01 1.93579401e-01
 1.50982143e-02 3.88984722e-02 2.44746177e-02 4.74095449e-03
 4.80618496e-01 3.03673047e-01 6.84093950e-02 5.01122523e-03
 4.53103608e-02 2.99531778e-02 2.19381560e-02 2.34744144e-03
 1.14077017e-01 2.66903883e-01 1.42896390e-01 2.77132460e-02
 1.85813518e-03 7.94200807e-03 1.30420758e-02 4.52117799e-02
 1.35177474e-02 1.09137680e-03 1.28295173e-01 9.31012472e-02
 1.74521642e-01 7.17942697e-02 1.19905534e-02 7.54899517e-04
 5.77610705e-02 2.06042620e-02 5.22695171e-02 3.59445282e-02
 7.42815926e-03 5.00747022e-04 2.16575146e-01 1.07295048e-01
 1.15774249e-01 1.12723973e-01 3.64448060e-02 5.54519825e-03
 3.28295771e-04 6.68157139e-02 3.14693950e-02 3.34853681e-02
 5.70601816e-02 2.37050657e-02 3.91150284e-03 2.30481553e-04
 2.04148426e-01 2.08875744e-01 9.30646715e-03 1.11450973e-01
 6.80122314e-02 1.92263670e-02 2.70697222e-03 1.49416355e-04
 2.17439558e-02 4.52362628e-02 1.17997353e-02 5.73840597e-02
 4.62465757e-02 1.44524529e-02 2.02561125e-03 1.07064222e-04]"
database\10479.jpg,"[3.18309886e-01 6.34414522e-16 7.91942562e-01 3.74331996e-02
 4.06366525e-03 3.44216630e-03 8.82804416e-01 1.40931127e-01
 7.58014342e-03 1.58290601e-02 1.44062415e-02 1.19822286e-03
 6.07704350e-01 2.49032605e-01 3.85440255e-02 1.85015652e-03
 2.61413517e-02 2.82214316e-02 6.53128582e-03 3.89378215e-04
 1.76140968e-01 2.61939071e-01 9.45284199e-02 1.18804066e-02
 4.88193585e-04 1.82086967e-02 3.38081992e-02 1.69469605e-02
 2.60892580e-03 1.30076328e-04 1.73776611e-01 1.38066235e-01
 1.44395731e-01 3.73224889e-02 3.78421736e-03 1.34283083e-04
 1.16080767e-02 2.66301830e-02 2.70546302e-02 8.39392616e-03
 1.04360666e-03 4.34360868e-05 3.19721627e-01 6.06367404e-02
 1.40002344e-01 7.49576301e-02 1.44570660e-02 1.21700903e-03
 3.81682710e-05 4.17797901e-02 1.51609513e-02 2.77513530e-02
 1.67970439e-02 4.06626029e-03 4.07040859e-04 1.43571092e-05
 2.82973888e-01 2.12163426e-01 6.02325094e-02 1.03514103e-01
 3.57971444e-02 5.45605164e-03 3.95530436e-04 1.11304564e-05
 4.40874944e-02 9.97522888e-03 1.57673934e-02 2.20741188e-02
 1.00558651e-02 1.86800475e-03 1.53904688e-04 4.69662755e-06]"
database\10492.jpg,"[3.18309886e-01 2.09026984e-15 7.45780290e-01 3.20567558e-02
 8.50507259e-03 1.00230480e-02 7.11741206e-01 1.08304163e-01
 7.73505456e-03 2.83798271e-02 3.88816619e-02 3.77508133e-03
 3.09517208e-01 1.55967999e-01 3.45874113e-02 2.66188610e-03
 3.28598543e-02 6.70442368e-02 1.87330916e-02 1.42846540e-03
 1.39764425e-01 1.02224659e-01 6.95907358e-02 1.49638532e-02
 9.72529380e-04 4.05368501e-03 6.33944240e-02 4.23049791e-02
 8.65513595e-03 5.64350488e-04 3.57749102e-01 3.15098472e-02
 7.66498432e-02 3.91551126e-02 6.53463052e-03 3.71112370e-04
 5.75746799e-02 2.59478993e-02 5.42097948e-02 2.43343984e-02
 4.05474676e-03 2.26165204e-04 2.83325860e-01 1.41586367e-01
 3.36501459e-02 6.08568220e-02 2.07200973e-02 2.89656247e-03
 1.45738986e-04 6.60544615e-02 1.41360323e-02 3.53024120e-02
 4.04201692e-02 1.37324464e-02 1.87755560e-03 9.16068697e-05
 4.92604833e-02 1.42720909e-01 3.38629158e-02 5.62802121e-02
 4.01140357e-02 1.07600802e-02 1.29452387e-03 5.85786086e-05
 5.73487342e-03 3.16087667e-02 6.59835781e-03 3.96496314e-02
 2.83520024e-02 7.42106949e-03 8.62286584e-04 3.74128393e-05]"
database\10677.jpg,"[3.18309886e-01 1.18124914e-15 7.87798599e-01 4.09445715e-02
 6.44636927e-03 5.20506658e-03 8.73216156e-01 1.49762255e-01
 1.03016351e-02 2.44287499e-02 2.11968587e-02 1.98936608e-03
 6.07208535e-01 2.53283705e-01 5.05739700e-02 3.00123694e-03
 3.91433318e-02 4.05759777e-02 1.02421627e-02 8.13048304e-04
 2.01937257e-01 2.50229461e-01 1.18623540e-01 1.84055750e-02
 9.26672062e-04 2.74262131e-02 4.95022011e-02 2.47381772e-02
 5.13552413e-03 3.40313082e-04 1.29056446e-01 1.17105173e-01
 1.72199421e-01 5.47382434e-02 6.75056698e-03 3.03664316e-04
 1.29879059e-02 4.61224683e-02 3.63293073e-02 1.54743773e-02
 2.55605232e-03 1.41038798e-04 2.90046019e-01 6.76793975e-02
 1.58926906e-01 1.03438136e-01 2.39823699e-02 2.54417949e-03
 1.05410736e-04 5.10029983e-02 4.10373749e-02 3.40338857e-02
 2.91549606e-02 9.26808899e-03 1.22379045e-03 5.81192803e-05
 2.96134508e-01 1.91916913e-01 6.90531948e-02 1.34264201e-01
 5.47080807e-02 1.04226133e-02 9.92545071e-04 3.87462557e-05
 5.83637033e-02 3.43772528e-02 1.77603070e-02 3.76497664e-02
 2.13855984e-02 5.15909923e-03 5.70552801e-04 2.39298848e-05]"
database\10752.jpg,"[3.18309886e-01 1.80213906e-14 6.35832686e-01 1.03840046e-01
 4.89952139e-03 4.12007204e-03 4.53394145e-01 2.66397279e-01
 4.69030739e-02 1.74860476e-02 1.44480411e-02 2.77146011e-03
 1.33839461e-01 2.54059447e-01 1.35903778e-01 2.67421949e-02
 4.73200483e-03 7.98950911e-03 1.64336701e-02 1.67184886e-03
 5.57815229e-02 7.00754653e-02 1.47285371e-01 8.44338472e-02
 1.74837066e-02 2.86934623e-02 8.28648431e-03 2.25473367e-02
 1.17798264e-02 2.15090037e-03 1.11881853e-01 1.07428085e-01
 4.08302093e-02 1.02490964e-01 5.91767905e-02 1.24229942e-02
 1.34923249e-02 1.32882696e-02 4.22672520e-03 2.49033975e-02
 7.03494441e-03 2.68290895e-03 1.15408763e-01 1.55962963e-01
 9.53082538e-02 4.16264066e-02 7.83611657e-02 4.49702953e-02
 9.26296673e-03 2.01106419e-02 2.41565076e-02 4.50395635e-03
 1.01375034e-02 2.11226124e-02 5.33145237e-03 2.89674161e-03
 9.50677671e-02 9.56835923e-02 1.49012019e-01 5.39771762e-02
 4.05560444e-02 6.50624611e-02 3.57059031e-02 7.11976222e-03
 8.63629023e-03 9.31359305e-03 1.43151310e-02 9.77714434e-03
 1.25729839e-02 1.65404501e-02 6.24373027e-03 2.87504653e-03]"
database\10828.jpg,"[3.18309886e-01 2.57616799e-04 6.14773145e-01 1.17780991e-01
 1.20171435e-02 1.51152861e-02 4.15646383e-01 2.96012228e-01
 5.13403767e-02 3.57895443e-02 3.04683825e-02 1.76434764e-02
 1.20933661e-01 2.84793602e-01 1.50538222e-01 2.31594663e-02
 3.51760820e-02 3.31357456e-02 3.77228065e-02 1.77993142e-02
 1.91887034e-02 6.70838441e-02 1.85545623e-01 7.69113926e-02
 1.04903837e-02 2.55288127e-02 2.52309828e-02 4.47515627e-02
 3.11405560e-02 1.71456546e-02 2.63236766e-02 8.68047644e-02
 6.45329765e-02 1.09159897e-01 4.07612504e-02 8.10119542e-03
 1.45575569e-02 1.33071710e-02 1.26769340e-02 4.57673887e-02
 2.47304858e-02 1.58197565e-02 1.07194195e-01 7.76634951e-02
 9.13874421e-02 5.78431466e-02 5.82587052e-02 2.32956061e-02
 1.03153956e-02 2.57354716e-02 3.71015918e-02 2.62457787e-02
 1.29457322e-02 4.35268805e-02 2.00093595e-02 1.44864459e-02
 1.17622195e-01 4.22967542e-02 1.24472791e-01 4.81652839e-02
 1.93723644e-02 4.08741642e-02 1.16242001e-02 1.23674512e-02
 3.12773539e-02 4.36287140e-02 6.16853678e-02 4.55085494e-02
 3.25366980e-02 3.22693858e-02 1.75087083e-02 1.35768367e-02]"
database\10939.jpg,"[0.31830989 0.01589192 0.53274671 0.04674484 0.03554708 0.02307936
 0.19184691 0.12119127 0.00934928 0.03434552 0.01750151 0.02961764
 0.16281661 0.06794339 0.02497642 0.01637701 0.03787453 0.04459859
 0.05131448 0.02531737 0.13245529 0.04420738 0.06160802 0.09436817
 0.02269839 0.02211072 0.07006806 0.08134666 0.0323704  0.0149647
 0.02969828 0.07335711 0.07206913 0.16070859 0.02247047 0.01910919
 0.02925728 0.03011371 0.0600495  0.04636903 0.02125189 0.01842158
 0.06064818 0.00644703 0.03415729 0.14995603 0.05021741 0.00603485
 0.02370821 0.01949569 0.0314174  0.03623434 0.03531424 0.029953
 0.01053996 0.02036389 0.01005566 0.0438548  0.02680768 0.06825033
 0.04329643 0.00689147 0.01136512 0.0226593  0.02969317 0.01540104
 0.02499581 0.05019675 0.01475013 0.01357989 0.01026857 0.02411608]"
database\11150.jpg,"[3.18309886e-01 7.89122972e-17 6.55729468e-01 9.55186708e-02
 8.77501516e-03 6.12889913e-03 4.91031163e-01 2.62868208e-01
 3.80672865e-02 1.16347703e-02 1.36181659e-02 6.66400502e-03
 1.46925825e-01 2.82680873e-01 1.20676429e-01 1.89944074e-02
 1.37627011e-02 1.24379295e-02 1.66143401e-02 6.46681169e-03
 5.14617488e-02 9.40705281e-02 1.63275300e-01 6.12214716e-02
 1.17470893e-02 3.22847323e-03 1.53484399e-02 2.70827767e-02
 1.34180474e-02 6.38349449e-03 9.17447143e-02 1.18719896e-01
 8.28730823e-02 9.32272872e-02 3.55783557e-02 8.54678835e-03
 1.35618531e-02 1.55018243e-02 1.98439545e-02 2.62657415e-02
 1.16838644e-02 6.18837067e-03 1.19682104e-01 1.64181234e-01
 7.97925377e-02 6.47853614e-02 5.58707753e-02 2.37533369e-02
 6.90162039e-03 2.11022511e-02 4.33578721e-03 1.28996876e-02
 2.16102363e-02 2.20072612e-02 1.16934665e-02 5.85346097e-03
 1.24632003e-01 9.74609191e-02 1.52698488e-01 4.56366033e-02
 5.18924429e-02 3.52383551e-02 1.79566813e-02 5.91698185e-03
 1.09812317e-02 9.59356126e-03 4.12519321e-03 5.87772362e-03
 2.51206422e-02 1.70460027e-02 1.22647612e-02 5.42965460e-03]"
database\11187.jpg,"[3.18309886e-01 5.98258137e-16 7.30440039e-01 8.35873376e-02
 1.12225068e-02 4.25893115e-03 6.95127931e-01 2.88687422e-01
 2.40868739e-02 4.67745840e-02 1.46355633e-02 3.41831798e-03
 3.98257135e-01 4.49208968e-01 1.09381483e-01 7.40707883e-03
 8.73770495e-02 2.37515517e-02 1.76360576e-02 1.83049700e-03
 1.61246196e-01 4.08134328e-01 2.28351802e-01 4.17354636e-02
 2.33731531e-03 8.98488938e-02 5.72417016e-02 4.40397604e-02
 1.07568770e-02 1.01624276e-03 9.37924441e-02 2.16990140e-01
 2.79093668e-01 1.09979863e-01 1.56605149e-02 7.63810811e-04
 7.72601760e-02 1.26352430e-01 7.23964055e-02 2.88681716e-02
 7.32279183e-03 4.59714164e-04 8.11892586e-02 5.15154440e-02
 1.96148273e-01 1.74640214e-01 4.95891749e-02 5.89315180e-03
 2.72628970e-04 1.34049325e-01 1.79726620e-01 9.01235992e-02
 4.47327911e-02 2.50160836e-02 3.84643997e-03 1.87642161e-04
 2.67132414e-02 3.69778398e-02 4.31594394e-02 1.74040099e-01
 9.64369956e-02 2.16160667e-02 2.36827303e-03 1.12065136e-04
 1.50283462e-01 1.79475625e-01 9.12448733e-02 4.47878461e-02
 5.26335848e-02 1.54910302e-02 1.75570010e-03 7.47444745e-05]"
database\11190.jpg,"[3.18309886e-01 7.72790409e-16 6.25392550e-01 7.39391454e-02
 2.17487100e-03 5.53161275e-03 3.77629201e-01 1.85863274e-01
 2.70450210e-02 1.15356445e-02 2.10489840e-02 6.09462333e-03
 3.42770345e-02 1.44729980e-01 8.07715411e-02 1.19034550e-02
 1.01873621e-02 2.42973083e-02 2.13101149e-02 5.78321963e-03
 2.14412922e-01 4.52266287e-02 8.47926703e-02 3.69169775e-02
 6.88203348e-03 2.48041888e-02 9.64413315e-03 3.47022626e-02
 1.68196416e-02 5.42227283e-03 1.37969446e-01 1.74105345e-01
 5.88213844e-03 3.87217118e-02 2.24129946e-02 4.68768326e-03
 2.67062446e-02 1.53658131e-02 1.62133719e-02 2.47911782e-02
 1.70243433e-02 4.64668347e-03 5.70900662e-03 1.07520710e-01
 8.25379288e-02 7.81131076e-03 2.81072227e-02 1.57031654e-02
 3.53658092e-03 2.59198566e-02 1.06501954e-02 2.09866772e-02
 1.80223722e-02 2.08349376e-02 1.65509979e-02 3.80202362e-03
 5.81029734e-02 5.70792463e-02 7.38505455e-02 6.79155648e-02
 1.03068060e-02 2.15965999e-02 1.22774733e-02 2.82545461e-03
 3.69582271e-02 7.35936636e-03 1.69146080e-02 1.77023812e-02
 1.29964466e-02 2.16892116e-02 1.51955869e-02 3.03801939e-03]"
